x_time,x_load,x_quality,x_env,x_group,x_shift,y
0,3.590519084803855,0.8909454564984449,-0.3689394390314622,6,0,9.324414729532052
1,2.2416970953233815,0.8829293219423711,0.2138087939410634,14,0,5.0083175629291325
2,2.0734253765564303,0.8458278259332708,-0.917976104610736,2,0,4.275296248621041
3,2.073453441497701,0.9828194876334002,1.7311696317672995,15,0,8.96725399009102
4,6.974571618345976,0.6967776680531578,-0.635409880228737,0,0,15.714185125930472
5,4.300059346446333,0.5653586617948787,-0.041292687007282836,15,0,10.730869802515098
6,1.6966170026113485,0.8358544296220304,0.5560220968422908,11,0,2.4642937643423193
7,3.7047217101468197,0.864654900238603,-0.5912847888018945,18,0,6.428454341817288
8,2.9984403960969703,0.7875302867294074,-1.8465730478044171,7,0,5.8242467813126995
9,0.3238724152358781,0.6034089465666981,-0.4286545269165333,11,0,-0.6719639528575803
10,1.0068634240315593,0.7522279708346777,1.0294405559270405,14,0,3.140255889948113
11,3.159248456022245,0.6560948682845646,-0.33689512678513855,1,0,7.781683124829769
12,6.547765301225293,0.7137332640833445,-0.8464343014589786,16,0,14.488999681938381
13,2.0877782774387192,0.8226092879223319,0.9256722095027217,6,0,8.43089800889339
14,1.5870411585814554,0.8726073713454172,-0.3307748960230527,12,0,0.7554960388714269
15,2.7210113122082484,0.6161123454506716,-0.5101608136502173,0,0,7.928481722677235
16,1.5079267210771463,0.7026626803234767,0.14945608966330953,5,0,3.1988029223408923
17,1.9766120717087827,0.6345807854958145,0.7707502096187874,12,0,4.35688029475073
18,2.473953718410397,0.5993158069309346,2.381713531732546,10,0,8.184167882922624
19,0.9602059572658252,0.8916936099979191,0.8272361076574231,9,0,2.5227386138179675
20,4.455090141319709,0.9546263472184962,1.1598399663883443,15,0,11.388024983695297
21,0.8027721694185601,0.6851160928422884,-0.5059661989878553,19,0,3.511340400061579
22,0.7091901657520101,0.8756394621868835,-1.0258681059694763,16,0,1.797080802056667
23,2.900925626832202,0.9484976446822055,0.06233134961912296,16,0,8.89712425598934
24,4.220030711968576,0.9230621052651158,0.10716991525959621,3,0,9.71052869732211
25,2.8467533615356055,0.591406694269613,-1.0785127413645972,4,0,12.328267808892956
26,2.282668765626901,0.9781459407566806,-0.17529452990401284,13,0,3.636540999028452
27,1.9610721524752113,0.6883382202147312,0.3993176017191309,19,0,6.9191655321551675
28,1.7098647460299756,0.6696203305869182,0.36039339501808015,9,0,4.347896255818679
29,5.156698950779174,0.5312156636388902,0.5042878533842724,13,0,7.221759757174161
30,3.181565909084883,0.7430868270524416,0.29096473013744295,0,0,9.06862730420384
31,1.8259782204879813,0.5545068078204644,-0.5070086592700558,10,0,9.64743258912002
32,1.4049097939673358,0.624269910463713,-0.5139006266488432,17,0,6.147217154544682
33,3.8814284350618107,0.6584713108836406,-1.198951397993876,15,0,8.868641346608927
34,5.075162510103326,0.904413161745842,1.784775039185095,17,0,15.606333546204429
35,4.771814672704333,0.9377443251979483,0.013450364619293007,7,0,10.245064471455667
36,1.2015705723170205,0.6512331587307348,-0.22485305579485193,9,0,4.633209598017099
37,1.9477467019314365,0.929349060622287,-0.9287920814524587,9,0,3.4374187642478296
38,1.6821524512801478,0.9286154686848955,2.9356579023277782,4,0,6.730080749951933
39,2.1574321736789828,0.8823254751924368,-1.0733280322228955,9,0,6.141588175458334
40,4.426632785044884,0.5733475570075908,-0.4288479256060734,17,0,10.66429653778733
41,6.153393685810816,0.8451614234503645,0.4158368362860605,5,0,10.90870342238938
42,3.267730710462748,0.9725120322902844,0.6002129657442777,2,0,8.544643443114595
43,1.4472669346383258,0.8412702393835785,0.957932055215684,7,0,0.6744075381437353
44,2.431262947333356,0.665808424553917,1.8076085077692632,8,0,5.314600414093983
45,6.918809302610377,0.7502896587154156,0.5061576554607123,4,0,16.71370084299782
46,2.6723829023307792,0.8228625216755268,-1.0560307999666676,1,0,8.526401098367467
47,1.9645270538633657,0.7552852043642517,-0.2569451251217815,1,0,6.816727509021298
48,2.0982789177019177,0.5599764708654849,0.30783237251388496,6,0,9.504074609683096
49,3.2572700460720183,0.6560320223260103,2.068226041505824,16,0,9.293039497922637
50,1.238447601757894,0.9011980152768162,-1.397805478424297,9,0,3.549461126693582
51,1.6487956771850438,0.9307090230477587,1.2025765052252275,11,0,5.799271973356539
52,4.724658590361376,0.5686500163577851,0.1799143695464168,1,0,8.081111612262738
53,3.192191422984596,0.9761933761993623,0.8378305352294807,9,0,6.010682084245978
54,2.6927412607183197,0.6644113089243047,-0.10199471663593199,19,0,8.17855723766433
55,4.884020347018551,0.8311568693653599,-0.8424326301263264,0,0,15.009742347135258
56,1.372028675672288,0.8759125729783406,0.750872779401332,3,0,5.494845251442307
57,1.9176523758464705,0.9059731173189417,0.6544310271056212,12,0,3.326097919286193
58,3.118395457172091,0.972874851112965,0.9720569657397219,11,0,8.002893286789242
59,3.040371885896045,0.6564597740144114,-0.01330463537863531,10,0,11.764636767031648
60,0.6387683614476196,0.9292532272757772,-0.5998220233198494,9,0,2.694019309174413
61,1.7706921204076722,0.5658434517181035,-1.5587869950238415,14,0,-0.26663215335510326
62,2.2004975555424093,0.8525204531767964,0.8193732681394064,4,0,8.64882806283699
63,3.366908313047652,0.870988864756993,0.42388948244398605,16,0,10.181799568564562
64,3.032645462276399,0.8388616206006603,-0.9657826328639593,4,0,9.27084307258096
65,2.358589446001963,0.6261573680675765,-0.5385736732966242,1,0,5.642399726604422
66,0.32115762285900096,0.9365215735076017,-0.46675881195144053,8,0,2.4280626672056114
67,2.4490067916771907,0.5844292316851976,-1.4829844319824181,5,0,3.758903426954885
68,2.618458541677835,0.5268173957604154,-0.8176823966051338,17,0,9.42074968013381
69,10.946996683174305,0.8587324953059561,-1.1338303568063541,13,0,21.344264996702222
70,2.1456896589459498,0.7377378576163669,-0.4124790118879367,18,0,3.1910927897497228
71,3.130589283695996,0.9245490099793381,-0.7386974983295628,13,0,3.6252398812415514
72,5.4303191383214475,0.6916985705291294,-1.6270049208667487,7,0,8.597842359754342
73,4.257109044708541,0.5841392942538564,2.0225902305694814,16,0,8.594431295813699
74,6.319206870917219,0.9182210962349349,1.2525407310292307,2,0,13.950960905609403
75,0.6493683291115296,0.7744548158200358,-0.7790194215199856,9,0,2.025850749997969
76,1.0305928412404883,0.5945978961951774,0.27242139665360987,16,0,5.032106288081808
77,1.5559005666633405,0.8601919992932229,0.417465089821295,10,0,5.8944751383106215
78,0.5389757922783821,0.7555568192447503,1.1910858547734768,7,0,2.2517172498203575
79,2.635135940412221,0.80215649112016,-0.8186050266600786,0,0,9.62693294890885
80,1.1087665658557755,0.7304491691032909,1.092106783982426,12,0,1.5866459998545053
81,6.8628131200231355,0.9143544919090032,-0.5479053042069351,3,0,13.681267956288531
82,1.2693013206679338,0.9147813578415249,-1.3358624041686133,6,0,6.315298293555036
83,1.9267548268044594,0.8546944109121931,0.7241365593144973,13,0,5.364126232289493
84,4.429443239556379,0.5527006886982311,1.2907584241224281,4,0,9.893435225980394
85,0.7937070854512402,0.9194269309520344,2.5879089735306846,10,0,3.6104180517126085
86,0.5003747473649867,0.8355064902664548,-1.1997252650902135,16,0,3.2707713569437415
87,2.8748576156664187,0.8485120830021498,0.6989196850807888,4,0,9.807845479071757
88,3.0377857286246295,0.6814914202019358,-0.40980124379353305,19,0,4.138427597724318
89,4.340181959735746,0.9396397780785033,0.7833587105240313,2,0,11.1404999771053
90,3.653065830041622,0.8626858001174287,-1.4704895512312506,4,0,13.126329006580484
91,3.120335505855434,0.5562952332645972,-1.262769775698564,14,0,6.772231931186506
92,1.4008221254313395,0.7038890172030814,-0.7758748231664838,18,0,6.985521325120752
93,2.977267367455416,0.9431901809800709,0.07896404566808451,15,0,9.225577425994265
94,3.1115613902410537,0.5235983508486894,-0.6410812665383554,7,0,7.762358487631472
95,1.3561264392127765,0.9807083098210247,0.6590543439134197,12,0,3.8841193352038523
96,8.13311327966764,0.8395812841597814,1.0268946182579144,15,0,20.644158126197357
97,3.534410356152164,0.8156879888216884,0.5995775412453558,2,0,8.114713236376906
98,1.0476926182055948,0.6352796282439956,1.618787639660868,0,0,4.5674485547954236
99,4.354916857803392,0.6243958943695885,0.415826629455343,8,0,9.44440682517268
100,4.868092710605849,0.9710291097442978,-1.216896710340167,8,0,10.961656399884632
101,3.3875675231421236,0.6491362271170613,1.3633765135383398,16,0,8.697900990375068
102,2.0542797572083953,0.8877526483594997,-0.6051562356059974,1,0,4.714341901996056
103,1.3060280190693148,0.6965608991035396,0.91041849968557,8,0,7.573842188154995
104,2.353645794528147,0.569627035392352,1.5737342165551063,18,0,0.12548010514766705
105,3.220538918583453,0.5053576488476794,0.45668801073039916,12,0,9.030942213402062
